Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
1.000000,9271.476743,0.150298,0.921040,108.649946,
2.000000,2904.950688,0.047092,0.831317,60.816923,
3.000000,4793.273658,0.077703,0.807768,78.121608,
4.000000,12115.513786,0.196402,0.899639,124.201253,
5.000000,13289.676790,0.215436,0.920276,130.080521,
6.000000,14524.753438,0.235458,0.834698,135.990773,
7.000000,6589.175927,0.106816,0.868355,91.594756,
8.000000,7517.583884,0.121866,0.867304,97.834989,
9.000000,23229.103149,0.376562,0.730413,171.977361,
10.000000,2056.360610,0.033335,0.825768,51.168737,
11.000000,9439.514382,0.153022,0.886008,109.630119,
12.000000,3925.779346,0.063640,0.877284,70.699770,
13.000000,11027.470073,0.178764,0.817588,118.493084,
14.000000,7740.233756,0.125475,0.921526,99.273217,
15.000000,13747.579357,0.222859,0.900354,132.302538,
16.000000,11315.234530,0.183429,0.811403,120.029180,
17.000000,14764.207074,0.239340,0.818340,137.107156,
18.000000,11897.064855,0.192861,0.939864,123.076454,
19.000000,5994.742778,0.097180,0.893767,87.365574,
20.000000,8429.188076,0.136644,0.892953,103.597179,
21.000000,10983.360192,0.178049,0.862729,118.255860,
22.000000,18383.317728,0.298008,0.862920,152.991395,
23.000000,14480.643558,0.234743,0.894107,135.784123,
24.000000,11374.047703,0.184382,0.904680,120.340713,
25.000000,2245.402954,0.036400,0.936177,53.469018,
26.000000,6038.852659,0.097895,0.940543,87.686407,
27.000000,7994.390685,0.129595,0.791362,100.889912,
28.000000,7704.525757,0.124896,0.847839,99.043964,
29.000000,6759.314037,0.109574,0.832353,92.769747,
30.000000,3110.796796,0.050428,0.899611,62.934804,
31.000000,19290.720980,0.312718,0.947980,156.721756,
32.000000,14862.929187,0.240940,0.937534,137.564782,
33.000000,6889.543207,0.111685,0.882281,93.659163,
34.000000,3499.383836,0.056728,0.799205,66.749935,
35.000000,7767.539872,0.125918,0.720263,99.448172,
36.000000,12600.722470,0.204268,0.843752,126.663879,
37.000000,10277.602108,0.166608,0.884902,114.393398,
38.000000,6410.635935,0.103922,0.852655,90.345311,
39.000000,9599.150139,0.155610,0.809253,110.553234,
40.000000,11117.790304,0.180228,0.964799,118.977352,
41.000000,8277.954201,0.134192,0.952051,102.663619,
42.000000,20181.320468,0.327155,0.822114,160.298644,
43.000000,13800.091119,0.223710,0.859560,132.554976,
44.000000,7988.089273,0.129493,0.811054,100.850142,
45.000000,8242.246203,0.133613,0.780571,102.441953,
46.000000,6448.444404,0.104534,0.843183,90.611337,
47.000000,9599.150139,0.155610,0.792826,110.553234,
48.000000,3140.203383,0.050905,0.813969,63.231567,
49.000000,12628.028586,0.204710,0.898114,126.801046,
50.000000,11886.562503,0.192691,0.800648,123.022118,
51.000000,15871.155022,0.257284,0.918124,142.154079,
52.000000,10569.567506,0.171341,0.836970,116.006859,
53.000000,4087.515574,0.066262,0.948688,72.141434,
54.000000,5467.524685,0.088633,0.828016,83.435416,
55.000000,8212.839616,0.133137,0.834723,102.259044,
56.000000,7091.188374,0.114954,0.898034,95.019900,
57.000000,5047.430587,0.081823,0.931121,80.166004,
58.000000,6629.084866,0.107463,0.917834,91.871720,
59.000000,2762.118694,0.044776,0.790112,59.302940,
60.000000,5772.092907,0.093570,0.850063,85.727807,
61.000000,1907.227205,0.030918,0.887130,49.278363,
62.000000,15898.461139,0.257727,0.894295,142.276314,
63.000000,8315.762670,0.134805,0.882937,102.897803,
64.000000,5601.954797,0.090812,0.929663,84.454901,
65.000000,5801.499493,0.094047,0.929658,85.945905,
66.000000,8133.021737,0.131843,0.880290,101.760920,
67.000000,16326.957119,0.264673,0.900936,144.180884,
68.000000,3600.206420,0.058362,0.853900,67.704691,
69.000000,3961.487344,0.064219,0.893930,71.020577,
70.000000,11624.003692,0.188434,0.847717,121.655831,
71.000000,11804.644154,0.191363,0.843843,122.597470,
72.000000,13816.894883,0.223983,0.888850,132.635655,
73.000000,12768.760109,0.206992,0.947089,127.505648,
74.000000,2802.027634,0.045423,0.911352,59.729828,
75.000000,9592.848728,0.155508,0.819193,110.516941,
76.000000,10897.240902,0.176653,0.855380,117.791333,
77.000000,9849.106128,0.159662,0.877980,111.983353,
78.000000,3703.129474,0.060031,0.841230,68.665646,
79.000000,2413.440593,0.039124,0.951468,55.433636,
80.000000,6316.114763,0.102389,0.751019,89.676792,
81.000000,6311.913822,0.102321,0.823568,89.646965,
82.000000,8051.103388,0.130515,0.788579,101.247139,
83.000000,10025.545649,0.162522,0.962129,112.981951,
84.000000,14173.974867,0.229771,0.834421,134.338622,
85.000000,12245.742957,0.198513,0.889776,124.866986,
86.000000,8910.195819,0.144441,0.857462,106.512035,
87.000000,10720.801381,0.173793,0.841008,116.833849,
88.000000,8217.040557,0.133205,0.970897,102.285194,
89.000000,9956.230123,0.161398,0.652618,112.590701,
90.000000,4673.546840,0.075762,0.907224,77.139773,
91.000000,2570.975880,0.041678,0.752937,57.214230,
92.000000,2121.475195,0.034391,0.879102,51.972552,
93.000000,3501.484307,0.056762,0.760173,66.769965,
94.000000,7988.089273,0.129493,0.901656,100.850142,
95.000000,22535.947887,0.365326,0.679515,169.392031,
96.000000,9212.663569,0.149345,0.938449,108.304790,
97.000000,12096.609552,0.196096,0.936706,124.104318,
98.000000,10346.917634,0.167732,0.939551,114.778503,
99.000000,8559.417247,0.138755,0.918206,104.394389,
100.000000,2457.550473,0.039839,0.756940,55.937916,
101.000000,3438.470192,0.055740,0.960340,66.166428,
102.000000,17940.118455,0.290824,0.924444,151.135926,
103.000000,11193.407241,0.181454,0.873138,119.381275,
104.000000,10632.581620,0.172363,0.904384,116.352152,
105.000000,6452.645345,0.104603,0.868208,90.640847,
106.000000,8950.104758,0.145088,0.835657,106.750304,
107.000000,11527.382049,0.186868,0.915059,121.149159,
108.000000,10575.868917,0.171443,0.820954,116.041435,
109.000000,14253.792745,0.231065,0.870391,134.716341,
110.000000,5885.518313,0.095409,0.913633,86.566013,
111.000000,3400.661723,0.055127,0.835501,65.801649,
112.000000,2825.132809,0.045798,0.855477,59.975585,
113.000000,13877.808527,0.224970,0.898252,132.927704,
114.000000,5303.687987,0.085977,0.895058,82.175819,
115.000000,2781.022929,0.045083,0.726493,59.505532,
