Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
278.000000,128.128700,0.002084,0.894817,12.772569,
279.000000,191.142815,0.003109,0.800086,15.600339,
280.000000,52.511762,0.000854,0.881116,8.176800,
281.000000,428.495980,0.006971,0.905192,23.357612,
282.000000,514.615270,0.008372,0.914500,25.597432,
283.000000,157.535287,0.002563,0.977205,14.162632,
284.000000,531.419034,0.008645,0.933070,26.011992,
285.000000,718.360908,0.011686,0.944622,30.243107,
286.000000,304.568221,0.004955,0.998972,19.692341,
287.000000,312.970103,0.005091,0.932867,19.962112,
288.000000,588.131737,0.009567,0.933625,27.364806,
289.000000,252.056459,0.004100,0.926479,17.914470,
290.000000,432.696921,0.007039,0.941332,23.471831,
291.000000,285.663987,0.004647,0.978104,19.071410,
292.000000,294.065869,0.004784,0.981597,19.349840,
293.000000,821.283962,0.013360,0.864582,32.337149,
294.000000,445.299744,0.007244,0.759452,23.811200,
295.000000,499.911977,0.008132,0.917471,25.229104,
296.000000,390.687511,0.006356,0.933098,22.303336,
297.000000,224.750342,0.003656,0.956211,16.916295,
298.000000,388.587041,0.006321,0.898151,22.243300,
299.000000,81.918349,0.001333,0.216438,10.212819,
300.000000,201.645167,0.003280,0.914986,16.023189,
301.000000,81.918349,0.001333,0.925280,10.212819,
302.000000,1268.684176,0.020638,0.812476,40.191278,
303.000000,260.458341,0.004237,0.993358,18.210597,
304.000000,113.425406,0.001845,0.970489,12.017392,
305.000000,94.521172,0.001538,1.039737,10.970328,
306.000000,663.748675,0.010798,0.815494,29.070794,
307.000000,516.715741,0.008406,0.937989,25.649618,
308.000000,369.682806,0.006014,0.893014,21.695501,
309.000000,552.423739,0.008987,0.845882,26.521081,
310.000000,1155.258770,0.018793,0.862664,38.352590,
311.000000,378.084688,0.006150,0.991775,21.940656,
312.000000,407.491275,0.006629,0.952953,22.777928,
313.000000,577.629385,0.009397,0.939131,27.119376,
314.000000,413.792687,0.006731,0.931621,22.953370,
315.000000,107.123995,0.001743,0.936751,11.678806,
316.000000,758.269847,0.012335,0.954032,31.071839,
317.000000,835.987255,0.013599,0.619363,32.625328,
318.000000,186.941874,0.003041,1.019616,15.427955,
319.000000,445.299744,0.007244,0.964770,23.811200,
320.000000,539.820916,0.008782,0.968298,26.216814,
321.000000,262.558811,0.004271,0.812646,18.283880,
322.000000,512.514800,0.008337,0.955896,25.545139,
323.000000,512.514800,0.008337,0.847044,25.545139,
324.000000,999.823953,0.016265,0.885460,35.679341,
325.000000,670.050086,0.010900,0.907668,29.208462,
326.000000,205.846108,0.003349,0.927650,16.189237,
327.000000,375.984218,0.006116,0.915371,21.879625,
328.000000,65.114585,0.001059,0.681438,9.105299,
329.000000,102.923054,0.001674,0.832591,11.447519,
330.000000,445.299744,0.007244,0.911342,23.811200,
331.000000,678.451968,0.011037,0.944508,29.391017,
332.000000,688.954321,0.011208,0.930826,29.617628,
333.000000,77.717408,0.001264,0.878802,9.947506,
334.000000,304.568221,0.004955,0.763149,19.692341,
335.000000,52.511762,0.000854,0.245068,8.176800,
336.000000,151.233875,0.002460,0.756940,13.876489,
