Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
1.000000,1226.674766,0.019885,0.927157,39.520258,
2.000000,1058.637127,0.017161,0.885714,36.713739,
3.000000,69.315526,0.001124,1.012325,9.394428,
4.000000,81.918349,0.001328,0.824757,10.212819,
5.000000,525.117623,0.008513,0.928778,25.857311,
6.000000,109.224465,0.001771,0.909728,11.792748,
7.000000,514.615270,0.008342,0.898968,25.597432,
8.000000,247.855518,0.004018,0.978242,17.764556,
9.000000,268.860223,0.004358,0.791723,18.501986,
10.000000,646.944911,0.010487,0.919330,28.700450,
11.000000,88.219761,0.001430,0.641369,10.598344,
12.000000,642.743970,0.010419,0.794645,28.607115,
13.000000,58.813174,0.000953,0.844402,8.653511,
14.000000,968.316896,0.015697,0.871961,35.112667,
15.000000,279.362575,0.004529,0.915599,18.859891,
16.000000,766.671729,0.012428,0.924277,31.243508,
17.000000,52.511762,0.000851,0.841044,8.176800,
18.000000,96.621643,0.001566,0.889648,11.091551,
19.000000,455.802096,0.007389,0.922026,24.090356,
20.000000,607.035972,0.009841,0.814984,27.801119,
21.000000,749.867965,0.012156,0.881478,30.899216,
22.000000,409.591746,0.006640,0.902241,22.836559,
23.000000,300.367280,0.004869,0.869190,19.556060,
24.000000,917.905604,0.014880,0.722466,34.186455,
25.000000,52.511762,0.000851,1.047674,8.176800,
26.000000,29.406587,0.000477,0.944070,6.118957,
27.000000,491.510095,0.007968,0.869591,25.016197,
28.000000,1079.641832,0.017502,0.903900,37.076174,
29.000000,147.032934,0.002384,0.457941,13.682403,
30.000000,344.477160,0.005584,0.887675,20.942826,
31.000000,741.466083,0.012020,0.982086,30.725623,
32.000000,344.477160,0.005584,0.923196,20.942826,
33.000000,464.203978,0.007525,0.979980,24.311373,
34.000000,472.605860,0.007661,0.871717,24.530399,
35.000000,294.065869,0.004767,0.961038,19.349840,
36.000000,607.035972,0.009841,0.912416,27.801119,
37.000000,50.411292,0.000817,0.908782,8.011595,
38.000000,460.003037,0.007457,0.847737,24.201117,
39.000000,1130.053124,0.018319,0.709703,37.931891,
