Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
273.000000,3656.919123,0.059489,0.918771,68.235871,
274.000000,9013.118873,0.146621,0.920710,107.125438,
275.000000,10031.847060,0.163193,0.952047,113.017452,
276.000000,4513.911083,0.073430,0.904972,75.810884,
277.000000,4173.634864,0.067895,0.830953,72.897441,
278.000000,6763.514978,0.110026,0.921795,92.798571,
279.000000,10426.735512,0.169617,0.846471,115.220363,
280.000000,11771.036626,0.191486,0.917451,122.422830,
281.000000,14963.751771,0.243423,0.938924,138.030578,
282.000000,9454.217675,0.153797,0.817033,109.715468,
283.000000,8227.542909,0.133842,0.886856,102.350540,
284.000000,12121.815198,0.197192,0.917694,124.233548,
285.000000,6106.067714,0.099331,0.899657,88.173051,
286.000000,8590.924304,0.139753,0.937107,104.586350,
287.000000,2493.258472,0.040559,0.937109,56.342837,
288.000000,10042.349413,0.163364,0.886551,113.076595,
289.000000,7801.147400,0.126905,0.849032,99.663079,
290.000000,10351.118575,0.168387,0.913808,114.801801,
291.000000,14837.723541,0.241373,0.896251,137.448086,
292.000000,7775.941754,0.126495,0.967839,99.501942,
293.000000,7904.070454,0.128580,0.859807,100.318369,
294.000000,6715.204157,0.109240,0.827467,92.466553,
295.000000,13577.441247,0.220871,0.847523,131.481311,
296.000000,5870.815020,0.095504,0.863929,86.457815,
297.000000,13327.485259,0.216805,0.879967,130.265426,
298.000000,3142.303853,0.051117,0.839767,63.252712,
299.000000,8977.410874,0.146040,0.929989,106.913023,
300.000000,6910.547912,0.112417,0.873906,93.801828,
301.000000,3736.737002,0.060787,0.899262,68.976527,
302.000000,2991.069978,0.048657,0.934987,61.711819,
303.000000,6093.464891,0.099126,0.870000,88.082010,
304.000000,7059.681317,0.114843,0.869446,94.808573,
305.000000,10399.429396,0.169173,0.895665,115.069391,
306.000000,6177.483711,0.100492,0.908386,88.687184,
307.000000,11886.562503,0.193365,0.913099,123.022118,
308.000000,5217.568697,0.084877,0.915926,81.505919,
309.000000,10401.529866,0.169207,0.953709,115.081011,
310.000000,9966.732475,0.162134,0.897696,112.650068,
311.000000,9197.960276,0.149628,0.869189,108.218329,
312.000000,7803.247870,0.126939,0.877137,99.676496,
313.000000,6217.392650,0.101142,0.878802,88.973199,
314.000000,4347.973914,0.070731,0.893953,74.404384,
315.000000,5788.896670,0.094171,0.820448,85.852502,
316.000000,5688.074087,0.092531,0.900710,85.101591,
317.000000,8223.341968,0.133773,0.879651,102.324407,
318.000000,9773.489190,0.158990,0.888951,111.552646,
319.000000,6912.648383,0.112452,0.848147,93.816082,
320.000000,13050.223154,0.212295,0.945707,128.903298,
321.000000,11659.711690,0.189675,0.923010,121.842546,
322.000000,5484.328449,0.089216,0.926956,83.563532,
323.000000,3014.175153,0.049033,0.906183,61.949713,
324.000000,8128.820796,0.132236,0.883192,101.734636,
325.000000,17188.150020,0.279609,0.876172,147.934554,
326.000000,15234.712464,0.247831,0.956541,139.274687,
327.000000,9788.192483,0.159230,0.854548,111.636525,
328.000000,14108.860281,0.229516,0.904355,134.029694,
329.000000,9258.873920,0.150619,0.874138,108.576077,
330.000000,7584.798939,0.123386,0.834319,98.271389,
331.000000,12667.937525,0.206076,0.914196,127.001256,
332.000000,2199.192603,0.035775,0.848873,52.915962,
